"Time","sum(rate(container_network_receive_packets_total{container=""POD"", interface=""net2"", job=""kubelet"", pod=~""oai-spgwu.*"",namespace=""oai""}[1m]))

"
2022-07-25 21:07:00,1.07
2022-07-25 21:07:15,1.07
2022-07-25 21:07:30,1.10
2022-07-25 21:07:45,1.10
2022-07-25 21:08:00,17.1
2022-07-25 21:08:15,22.6
2022-07-25 21:08:30,149
2022-07-25 21:08:45,191
2022-07-25 21:09:00,157
2022-07-25 21:09:15,157
2022-07-25 21:09:30,253
2022-07-25 21:09:45,253
2022-07-25 21:10:00,193
2022-07-25 21:10:15,193
2022-07-25 21:10:30,178
2022-07-25 21:10:45,178
2022-07-25 21:11:00,181
2022-07-25 21:11:15,181
2022-07-25 21:11:30,121
2022-07-25 21:11:45,121
2022-07-25 21:12:00,136
2022-07-25 21:12:15,136
2022-07-25 21:12:30,140
2022-07-25 21:12:45,140
2022-07-25 21:13:00,137
2022-07-25 21:13:15,137
2022-07-25 21:13:30,154
2022-07-25 21:13:45,154
2022-07-25 21:14:00,124
2022-07-25 21:14:15,124
2022-07-25 21:14:30,102
2022-07-25 21:14:45,103
2022-07-25 21:15:00,189
2022-07-25 21:15:15,189
2022-07-25 21:15:30,219
2022-07-25 21:15:45,219
2022-07-25 21:16:00,253
2022-07-25 21:16:15,253
2022-07-25 21:16:30,182
2022-07-25 21:16:45,182
2022-07-25 21:17:00,191
2022-07-25 21:17:15,191
2022-07-25 21:17:30,313
2022-07-25 21:17:45,314
2022-07-25 21:18:00,225
2022-07-25 21:18:15,225
2022-07-25 21:18:30,344
2022-07-25 21:18:45,344
2022-07-25 21:19:00,184
2022-07-25 21:19:15,184
2022-07-25 21:19:30,330
2022-07-25 21:19:45,330
2022-07-25 21:20:00,324
2022-07-25 21:20:15,324
2022-07-25 21:20:30,238
2022-07-25 21:20:45,239
2022-07-25 21:21:00,297
2022-07-25 21:21:15,297
2022-07-25 21:21:30,240
2022-07-25 21:21:45,240
2022-07-25 21:22:00,214
2022-07-25 21:22:15,214
2022-07-25 21:22:30,266
2022-07-25 21:22:45,266
2022-07-25 21:23:00,318
2022-07-25 21:23:15,318
2022-07-25 21:23:30,248
2022-07-25 21:23:45,248
2022-07-25 21:24:00,262
2022-07-25 21:24:15,262
2022-07-25 21:24:30,301
2022-07-25 21:24:45,301
2022-07-25 21:25:00,230
2022-07-25 21:25:15,230
2022-07-25 21:25:30,372
2022-07-25 21:25:45,372
2022-07-25 21:26:00,229
2022-07-25 21:26:15,229
2022-07-25 21:26:30,252
2022-07-25 21:26:45,252
2022-07-25 21:27:00,290
2022-07-25 21:27:15,290
2022-07-25 21:27:30,282
2022-07-25 21:27:45,282
2022-07-25 21:28:00,310
2022-07-25 21:28:15,310
2022-07-25 21:28:30,177
2022-07-25 21:28:45,177
2022-07-25 21:29:00,308
2022-07-25 21:29:15,308
2022-07-25 21:29:30,271
2022-07-25 21:29:45,271
2022-07-25 21:30:00,275
2022-07-25 21:30:15,275
2022-07-25 21:30:30,239
2022-07-25 21:30:45,239
2022-07-25 21:31:00,222
2022-07-25 21:31:15,222
2022-07-25 21:31:30,215
2022-07-25 21:31:45,215
2022-07-25 21:32:00,236
2022-07-25 21:32:15,236
2022-07-25 21:32:30,211
2022-07-25 21:32:45,211
2022-07-25 21:33:00,198
2022-07-25 21:33:15,198
2022-07-25 21:33:30,173
2022-07-25 21:33:45,173
2022-07-25 21:34:00,144
2022-07-25 21:34:15,144
2022-07-25 21:34:30,159
2022-07-25 21:34:45,159
2022-07-25 21:35:00,146
2022-07-25 21:35:15,146
2022-07-25 21:35:30,116
2022-07-25 21:35:45,116
2022-07-25 21:36:00,126
2022-07-25 21:36:15,126
2022-07-25 21:36:30,126
2022-07-25 21:36:45,126
2022-07-25 21:37:00,79.2
2022-07-25 21:37:15,79.2
2022-07-25 21:37:30,106
2022-07-25 21:37:45,106
2022-07-25 21:38:00,122
2022-07-25 21:38:15,122
2022-07-25 21:38:30,107
2022-07-25 21:38:45,107
2022-07-25 21:39:00,71.2
2022-07-25 21:39:15,71.2
2022-07-25 21:39:30,129
2022-07-25 21:39:45,129
2022-07-25 21:40:00,125
2022-07-25 21:40:15,125
2022-07-25 21:40:30,145
2022-07-25 21:40:45,145
2022-07-25 21:41:00,188
2022-07-25 21:41:15,189
2022-07-25 21:41:30,155
2022-07-25 21:41:45,155
2022-07-25 21:42:00,232
2022-07-25 21:42:15,232
2022-07-25 21:42:30,210
2022-07-25 21:42:45,210
2022-07-25 21:43:00,259
2022-07-25 21:43:15,259
2022-07-25 21:43:30,319
2022-07-25 21:43:45,319
2022-07-25 21:44:00,242
2022-07-25 21:44:15,242
2022-07-25 21:44:30,331
2022-07-25 21:44:45,331
2022-07-25 21:45:00,218
2022-07-25 21:45:15,218
2022-07-25 21:45:30,264
2022-07-25 21:45:45,264
2022-07-25 21:46:00,276
2022-07-25 21:46:15,276
2022-07-25 21:46:30,275
2022-07-25 21:46:45,275
2022-07-25 21:47:00,209
2022-07-25 21:47:15,209
2022-07-25 21:47:30,286
2022-07-25 21:47:45,286
2022-07-25 21:48:00,302
2022-07-25 21:48:15,303
2022-07-25 21:48:30,304
2022-07-25 21:48:45,304
2022-07-25 21:49:00,302
2022-07-25 21:49:15,302
2022-07-25 21:49:30,305
2022-07-25 21:49:45,305
2022-07-25 21:50:00,315
2022-07-25 21:50:15,315
2022-07-25 21:50:30,351
2022-07-25 21:50:45,351
2022-07-25 21:51:00,253
2022-07-25 21:51:15,253
2022-07-25 21:51:30,278
2022-07-25 21:51:45,278
2022-07-25 21:52:00,244
2022-07-25 21:52:15,244
2022-07-25 21:52:30,342
2022-07-25 21:52:45,342
2022-07-25 21:53:00,333
2022-07-25 21:53:15,333
2022-07-25 21:53:30,273
2022-07-25 21:53:45,273
2022-07-25 21:54:00,306
2022-07-25 21:54:15,306
2022-07-25 21:54:30,239
2022-07-25 21:54:45,239
2022-07-25 21:55:00,214
2022-07-25 21:55:15,214
2022-07-25 21:55:30,329
2022-07-25 21:55:45,329
2022-07-25 21:56:00,279
2022-07-25 21:56:15,279
2022-07-25 21:56:30,251
2022-07-25 21:56:45,251
2022-07-25 21:57:00,195
2022-07-25 21:57:15,195
2022-07-25 21:57:30,255
2022-07-25 21:57:45,255
2022-07-25 21:58:00,167
2022-07-25 21:58:15,167
2022-07-25 21:58:30,193
2022-07-25 21:58:45,193
2022-07-25 21:59:00,128
2022-07-25 21:59:15,128
2022-07-25 21:59:30,182
2022-07-25 21:59:45,182
2022-07-25 22:00:00,174
2022-07-25 22:00:15,174
2022-07-25 22:00:30,172
2022-07-25 22:00:45,172
2022-07-25 22:01:00,136
2022-07-25 22:01:15,136
2022-07-25 22:01:30,120
2022-07-25 22:01:45,120
2022-07-25 22:02:00,111
2022-07-25 22:02:15,111
2022-07-25 22:02:30,135
2022-07-25 22:02:45,135
2022-07-25 22:03:00,165
2022-07-25 22:03:15,165
2022-07-25 22:03:30,92.8
2022-07-25 22:03:45,92.8
2022-07-25 22:04:00,146
2022-07-25 22:04:15,146
2022-07-25 22:04:30,194
2022-07-25 22:04:45,194
2022-07-25 22:05:00,179
2022-07-25 22:05:15,179
2022-07-25 22:05:30,143
2022-07-25 22:05:45,143
2022-07-25 22:06:00,175
2022-07-25 22:06:15,175
2022-07-25 22:06:30,239
2022-07-25 22:06:45,239
2022-07-25 22:07:00,285
2022-07-25 22:07:15,285
2022-07-25 22:07:30,270
2022-07-25 22:07:45,270
2022-07-25 22:08:00,204
2022-07-25 22:08:15,204
2022-07-25 22:08:30,300
2022-07-25 22:08:45,300
2022-07-25 22:09:00,270
2022-07-25 22:09:15,270
2022-07-25 22:09:30,223
2022-07-25 22:09:45,223
2022-07-25 22:10:00,248
2022-07-25 22:10:15,248
2022-07-25 22:10:30,285
2022-07-25 22:10:45,285
2022-07-25 22:11:00,285
2022-07-25 22:11:15,285
2022-07-25 22:11:30,276
2022-07-25 22:11:45,276
2022-07-25 22:12:00,240
2022-07-25 22:12:15,240
2022-07-25 22:12:30,328
2022-07-25 22:12:45,328
2022-07-25 22:13:00,302
2022-07-25 22:13:15,302
2022-07-25 22:13:30,314
2022-07-25 22:13:45,314
2022-07-25 22:14:00,258
2022-07-25 22:14:15,258
2022-07-25 22:14:30,359
2022-07-25 22:14:45,359
2022-07-25 22:15:00,405
2022-07-25 22:15:15,405
