"Time","spgwu2","spgwu"
2022-07-25 21:50:00,147,168
2022-07-25 21:50:15,147,168
2022-07-25 21:50:30,188,163
2022-07-25 21:50:45,188,163
2022-07-25 21:51:00,128,125
2022-07-25 21:51:15,128,125
2022-07-25 21:51:30,143,135
2022-07-25 21:51:45,143,135
2022-07-25 21:52:00,122,122
2022-07-25 21:52:15,122,122
2022-07-25 21:52:30,167,175
2022-07-25 21:52:45,167,175
2022-07-25 21:53:00,170,163
2022-07-25 21:53:15,170,163
2022-07-25 21:53:30,135,138
2022-07-25 21:53:45,135,138
2022-07-25 21:54:00,132,174
2022-07-25 21:54:15,132,174
2022-07-25 21:54:30,160,78.6
2022-07-25 21:54:45,160,78.6
2022-07-25 21:55:00,59.1,155
2022-07-25 21:55:15,59.1,155
2022-07-25 21:55:30,199,129
2022-07-25 21:55:45,199,129
2022-07-25 21:56:00,134,144
2022-07-25 21:56:15,134,144
2022-07-25 21:56:30,137,114
2022-07-25 21:56:45,137,114
2022-07-25 21:57:00,64.3,131
2022-07-25 21:57:15,64.3,131
2022-07-25 21:57:30,148,107
2022-07-25 21:57:45,148,107
2022-07-25 21:58:00,50.1,117
2022-07-25 21:58:15,50.1,117
2022-07-25 21:58:30,104,89.1
2022-07-25 21:58:45,104,89.1
2022-07-25 21:59:00,66.0,61.5
2022-07-25 21:59:15,66.0,61.5
2022-07-25 21:59:30,95.0,86.7
2022-07-25 21:59:45,95.0,86.7
2022-07-25 22:00:00,101,73.1
2022-07-25 22:00:15,101,73.1
2022-07-25 22:00:30,76.2,95.5
2022-07-25 22:00:45,76.2,95.5
2022-07-25 22:01:00,65.0,70.9
2022-07-25 22:01:15,65.0,70.9
2022-07-25 22:01:30,60.6,59.2
2022-07-25 22:01:45,60.6,59.2
2022-07-25 22:02:00,63.6,47.2
2022-07-25 22:02:15,63.6,47.2
2022-07-25 22:02:30,63.7,71.6
2022-07-25 22:02:45,63.7,71.6
2022-07-25 22:03:00,77.9,87.1
2022-07-25 22:03:15,77.9,87.1
2022-07-25 22:03:30,37.6,55.2
2022-07-25 22:03:45,37.6,55.2
2022-07-25 22:04:00,83.5,62.2
2022-07-25 22:04:15,83.5,62.2
2022-07-25 22:04:30,104,89.9
2022-07-25 22:04:45,104,89.9
2022-07-25 22:05:00,77.6,102
2022-07-25 22:05:15,77.6,102
2022-07-25 22:05:30,71.1,71.8
2022-07-25 22:05:45,71.1,71.8
2022-07-25 22:06:00,93.1,81.7
2022-07-25 22:06:15,93.1,81.7
2022-07-25 22:06:30,105,134
2022-07-25 22:06:45,105,134
2022-07-25 22:07:00,157,128
2022-07-25 22:07:15,157,128
2022-07-25 22:07:30,131,139
2022-07-25 22:07:45,131,139
2022-07-25 22:08:00,93.2,111
2022-07-25 22:08:15,93.2,111
2022-07-25 22:08:30,154,146
2022-07-25 22:08:45,154,146
2022-07-25 22:09:00,142,128
