"Time","sum(rate(container_network_receive_packets_total{container=""POD"", interface=""net2"", job=""kubelet"", pod=~""oai-spgwu.*"",namespace=""oai""}[1m]))

"
2022-07-24 17:29:00,2.73
2022-07-24 17:29:15,2.73
2022-07-24 17:29:30,3.13
2022-07-24 17:29:45,3.13
2022-07-24 17:30:00,1.97
2022-07-24 17:30:15,1.97
2022-07-24 17:30:30,25.2
2022-07-24 17:30:45,25.2
2022-07-24 17:31:00,236
2022-07-24 17:31:15,236
2022-07-24 17:31:30,201
2022-07-24 17:31:45,201
2022-07-24 17:32:00,200
2022-07-24 17:32:15,200
2022-07-24 17:32:30,205
2022-07-24 17:32:45,205
2022-07-24 17:33:00,157
2022-07-24 17:33:15,157
2022-07-24 17:33:30,143
2022-07-24 17:33:45,143
2022-07-24 17:34:00,159
2022-07-24 17:34:15,159
2022-07-24 17:34:30,143
2022-07-24 17:34:45,143
2022-07-24 17:35:00,112
2022-07-24 17:35:15,112
2022-07-24 17:35:30,163
2022-07-24 17:35:45,163
2022-07-24 17:36:00,127
2022-07-24 17:36:15,127
2022-07-24 17:36:30,139
2022-07-24 17:36:45,139
2022-07-24 17:37:00,155
2022-07-24 17:37:15,155
2022-07-24 17:37:30,164
2022-07-24 17:37:45,164
2022-07-24 17:38:00,212
2022-07-24 17:38:15,212
2022-07-24 17:38:30,231
2022-07-24 17:38:45,231
2022-07-24 17:39:00,170
2022-07-24 17:39:15,170
2022-07-24 17:39:30,242
2022-07-24 17:39:45,242
2022-07-24 17:40:00,225
2022-07-24 17:40:15,225
2022-07-24 17:40:30,305
2022-07-24 17:40:45,305
2022-07-24 17:41:00,311
2022-07-24 17:41:15,311
2022-07-24 17:41:30,249
2022-07-24 17:41:45,249
2022-07-24 17:42:00,289
2022-07-24 17:42:15,289
2022-07-24 17:42:30,292
2022-07-24 17:42:45,292
2022-07-24 17:43:00,254
2022-07-24 17:43:15,254
2022-07-24 17:43:30,278
2022-07-24 17:43:45,278
2022-07-24 17:44:00,244
2022-07-24 17:44:15,244
2022-07-24 17:44:30,300
2022-07-24 17:44:45,300
2022-07-24 17:45:00,238
2022-07-24 17:45:15,238
2022-07-24 17:45:30,330
2022-07-24 17:45:45,330
2022-07-24 17:46:00,225
2022-07-24 17:46:15,225
2022-07-24 17:46:30,300
2022-07-24 17:46:45,300
2022-07-24 17:47:00,236
2022-07-24 17:47:15,236
2022-07-24 17:47:30,319
2022-07-24 17:47:45,319
2022-07-24 17:48:00,247
2022-07-24 17:48:15,247
2022-07-24 17:48:30,289
2022-07-24 17:48:45,289
2022-07-24 17:49:00,277
2022-07-24 17:49:15,277
2022-07-24 17:49:30,265
2022-07-24 17:49:45,265
2022-07-24 17:50:00,273
2022-07-24 17:50:15,273
2022-07-24 17:50:30,295
2022-07-24 17:50:45,295
2022-07-24 17:51:00,261
2022-07-24 17:51:15,261
2022-07-24 17:51:30,303
2022-07-24 17:51:45,303
2022-07-24 17:52:00,268
2022-07-24 17:52:15,268
2022-07-24 17:52:30,214
2022-07-24 17:52:45,214
2022-07-24 17:53:00,264
2022-07-24 17:53:15,264
2022-07-24 17:53:30,205
2022-07-24 17:53:45,205
2022-07-24 17:54:00,228
2022-07-24 17:54:15,228
2022-07-24 17:54:30,187
2022-07-24 17:54:45,187
2022-07-24 17:55:00,234
2022-07-24 17:55:15,234
2022-07-24 17:55:30,229
2022-07-24 17:55:45,229
2022-07-24 17:56:00,195
2022-07-24 17:56:15,195
2022-07-24 17:56:30,141
2022-07-24 17:56:45,141
2022-07-24 17:57:00,155
2022-07-24 17:57:15,155
2022-07-24 17:57:30,136
2022-07-24 17:57:45,136
2022-07-24 17:58:00,141
2022-07-24 17:58:15,141
2022-07-24 17:58:30,132
2022-07-24 17:58:45,132
2022-07-24 17:59:00,102
2022-07-24 17:59:15,102
2022-07-24 17:59:30,102
2022-07-24 17:59:45,102
2022-07-24 18:00:00,97.0
2022-07-24 18:00:15,97.0
2022-07-24 18:00:30,115
2022-07-24 18:00:45,115
2022-07-24 18:01:00,106
2022-07-24 18:01:15,106
2022-07-24 18:01:30,119
2022-07-24 18:01:45,119
2022-07-24 18:02:00,114
2022-07-24 18:02:15,114
2022-07-24 18:02:30,120
2022-07-24 18:02:45,120
2022-07-24 18:03:00,151
2022-07-24 18:03:15,151
2022-07-24 18:03:30,144
2022-07-24 18:03:45,144
2022-07-24 18:04:00,178
2022-07-24 18:04:15,178
2022-07-24 18:04:30,238
2022-07-24 18:04:45,238
2022-07-24 18:05:00,236
2022-07-24 18:05:15,236
2022-07-24 18:05:30,257
2022-07-24 18:05:45,257
2022-07-24 18:06:00,280
2022-07-24 18:06:15,280
2022-07-24 18:06:30,289
2022-07-24 18:06:45,289
2022-07-24 18:07:00,264
2022-07-24 18:07:15,264
2022-07-24 18:07:30,236
2022-07-24 18:07:45,236
2022-07-24 18:08:00,278
2022-07-24 18:08:15,279
2022-07-24 18:08:30,274
2022-07-24 18:08:45,274
2022-07-24 18:09:00,249
2022-07-24 18:09:15,249
2022-07-24 18:09:30,265
2022-07-24 18:09:45,265
2022-07-24 18:10:00,263
2022-07-24 18:10:15,263
2022-07-24 18:10:30,289
2022-07-24 18:10:45,289
2022-07-24 18:11:00,288
2022-07-24 18:11:15,288
2022-07-24 18:11:30,296
2022-07-24 18:11:45,296
2022-07-24 18:12:00,298
2022-07-24 18:12:15,298
2022-07-24 18:12:30,307
2022-07-24 18:12:45,307
2022-07-24 18:13:00,309
2022-07-24 18:13:15,309
2022-07-24 18:13:30,290
2022-07-24 18:13:45,290
2022-07-24 18:14:00,302
2022-07-24 18:14:15,302
2022-07-24 18:14:30,306
2022-07-24 18:14:45,306
2022-07-24 18:15:00,305
2022-07-24 18:15:15,305
2022-07-24 18:15:30,348
2022-07-24 18:15:45,348
2022-07-24 18:16:00,263
2022-07-24 18:16:15,263
2022-07-24 18:16:30,279
2022-07-24 18:16:45,279
2022-07-24 18:17:00,287
2022-07-24 18:17:15,287
2022-07-24 18:17:30,234
2022-07-24 18:17:45,234
2022-07-24 18:18:00,291
2022-07-24 18:18:15,291
2022-07-24 18:18:30,237
2022-07-24 18:18:45,237
2022-07-24 18:19:00,297
2022-07-24 18:19:15,297
2022-07-24 18:19:30,230
2022-07-24 18:19:45,230
2022-07-24 18:20:00,210
2022-07-24 18:20:15,210
2022-07-24 18:20:30,226
2022-07-24 18:20:45,226
2022-07-24 18:21:00,183
2022-07-24 18:21:15,183
2022-07-24 18:21:30,170
2022-07-24 18:21:45,170
2022-07-24 18:22:00,134
2022-07-24 18:22:15,134
2022-07-24 18:22:30,158
2022-07-24 18:22:45,158
2022-07-24 18:23:00,169
2022-07-24 18:23:15,169
2022-07-24 18:23:30,159
2022-07-24 18:23:45,159
2022-07-24 18:24:00,134
2022-07-24 18:24:15,134
2022-07-24 18:24:30,105
2022-07-24 18:24:45,105
2022-07-24 18:25:00,148
2022-07-24 18:25:15,148
2022-07-24 18:25:30,137
2022-07-24 18:25:45,137
2022-07-24 18:26:00,138
2022-07-24 18:26:15,138
2022-07-24 18:26:30,128
2022-07-24 18:26:45,128
2022-07-24 18:27:00,188
2022-07-24 18:27:15,188
2022-07-24 18:27:30,184
2022-07-24 18:27:45,184
2022-07-24 18:28:00,174
2022-07-24 18:28:15,174
2022-07-24 18:28:30,168
2022-07-24 18:28:45,168
2022-07-24 18:29:00,262
2022-07-24 18:29:15,262
2022-07-24 18:29:30,227
2022-07-24 18:29:45,227
2022-07-24 18:30:00,261
2022-07-24 18:30:15,261
2022-07-24 18:30:30,228
2022-07-24 18:30:45,228
2022-07-24 18:31:00,288
2022-07-24 18:31:15,288
2022-07-24 18:31:30,216
2022-07-24 18:31:45,216
2022-07-24 18:32:00,258
2022-07-24 18:32:15,259
2022-07-24 18:32:30,279
2022-07-24 18:32:45,279
2022-07-24 18:33:00,247
2022-07-24 18:33:15,247
2022-07-24 18:33:30,316
2022-07-24 18:33:45,316
2022-07-24 18:34:00,292
2022-07-24 18:34:15,292
2022-07-24 18:34:30,276
2022-07-24 18:34:45,276
2022-07-24 18:35:00,268
2022-07-24 18:35:15,268
2022-07-24 18:35:30,248
2022-07-24 18:35:45,248
2022-07-24 18:36:00,335
2022-07-24 18:36:15,335
2022-07-24 18:36:30,282
2022-07-24 18:36:45,282
2022-07-24 18:37:00,384
2022-07-24 18:37:15,384
2022-07-24 18:37:30,325
2022-07-24 18:37:45,326
2022-07-24 18:38:00,334
2022-07-24 18:38:15,334
2022-07-24 18:38:30,317
2022-07-24 18:38:45,317
2022-07-24 18:39:00,366
2022-07-24 18:39:15,366
2022-07-24 18:39:30,312
2022-07-24 18:39:45,312
2022-07-24 18:40:00,403
2022-07-24 18:40:15,403
2022-07-24 18:40:30,288
2022-07-24 18:40:45,288
2022-07-24 18:41:00,341
2022-07-24 18:41:15,341
2022-07-24 18:41:30,328
2022-07-24 18:41:45,328
2022-07-24 18:42:00,322
2022-07-24 18:42:15,322
2022-07-24 18:42:30,298
2022-07-24 18:42:45,298
2022-07-24 18:43:00,271
2022-07-24 18:43:15,271
2022-07-24 18:43:30,265
2022-07-24 18:43:45,265
2022-07-24 18:44:00,200
2022-07-24 18:44:15,200
2022-07-24 18:44:30,204
2022-07-24 18:44:45,204
2022-07-24 18:45:00,192
2022-07-24 18:45:15,192
2022-07-24 18:45:30,203
2022-07-24 18:45:45,203
2022-07-24 18:46:00,152
2022-07-24 18:46:15,152
2022-07-24 18:46:30,172
2022-07-24 18:46:45,172
2022-07-24 18:47:00,153
2022-07-24 18:47:15,153
2022-07-24 18:47:30,161
2022-07-24 18:47:45,161
2022-07-24 18:48:00,152
2022-07-24 18:48:15,152
2022-07-24 18:48:30,155
2022-07-24 18:48:45,155
2022-07-24 18:49:00,147
2022-07-24 18:49:15,147
2022-07-24 18:49:30,131
2022-07-24 18:49:45,131
2022-07-24 18:50:00,148
2022-07-24 18:50:15,148
2022-07-24 18:50:30,189
2022-07-24 18:50:45,189
2022-07-24 18:51:00,160
2022-07-24 18:51:15,160
2022-07-24 18:51:30,232
2022-07-24 18:51:45,232
2022-07-24 18:52:00,245
2022-07-24 18:52:15,245
2022-07-24 18:52:30,307
2022-07-24 18:52:45,307
2022-07-24 18:53:00,326
2022-07-24 18:53:15,326
2022-07-24 18:53:30,420
2022-07-24 18:53:45,420
2022-07-24 18:54:00,369
2022-07-24 18:54:15,369
2022-07-24 18:54:30,511
2022-07-24 18:54:45,511
2022-07-24 18:55:00,499
2022-07-24 18:55:15,499
2022-07-24 18:55:30,511
2022-07-24 18:55:45,511
2022-07-24 18:56:00,464
2022-07-24 18:56:15,464
2022-07-24 18:56:30,466
2022-07-24 18:56:45,466
2022-07-24 18:57:00,445
2022-07-24 18:57:15,445
2022-07-24 18:57:30,513
2022-07-24 18:57:45,513
2022-07-24 18:58:00,483
2022-07-24 18:58:15,483
2022-07-24 18:58:30,552
2022-07-24 18:58:45,552
2022-07-24 18:59:00,538
2022-07-24 18:59:15,538
2022-07-24 18:59:30,511
2022-07-24 18:59:45,511
2022-07-24 19:00:00,493
2022-07-24 19:00:15,493
2022-07-24 19:00:30,473
2022-07-24 19:00:45,473
2022-07-24 19:01:00,502
2022-07-24 19:01:15,502
2022-07-24 19:01:30,529
2022-07-24 19:01:45,529
2022-07-24 19:02:00,527
2022-07-24 19:02:15,527
2022-07-24 19:02:30,543
2022-07-24 19:02:45,543
2022-07-24 19:03:00,491
2022-07-24 19:03:15,491
