"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}"
2022-07-24 17:41:30,55.8
2022-07-24 17:41:45,52.9
2022-07-24 17:42:00,52.9
2022-07-24 17:42:15,59.3
2022-07-24 17:42:30,59.3
2022-07-24 17:42:45,60.2
2022-07-24 17:43:00,60.2
2022-07-24 17:43:15,53.6
2022-07-24 17:43:30,53.6
2022-07-24 17:43:45,51.2
2022-07-24 17:44:00,51.2
2022-07-24 17:44:15,66.0
2022-07-24 17:44:30,66.0
2022-07-24 17:44:45,53.9
2022-07-24 17:45:00,53.9
2022-07-24 17:45:15,29.7
2022-07-24 17:45:30,29.7
2022-07-24 17:45:45,55.5
2022-07-24 17:46:00,55.5
2022-07-24 17:46:15,51.5
2022-07-24 17:46:30,51.5
2022-07-24 17:46:45,73.6
2022-07-24 17:47:00,73.6
2022-07-24 17:47:15,58.5
2022-07-24 17:47:30,58.5
2022-07-24 17:47:45,54.9
2022-07-24 17:48:00,54.9
2022-07-24 17:48:15,63.7
2022-07-24 17:48:30,63.7
2022-07-24 17:48:45,50.5
2022-07-24 17:49:00,50.5
2022-07-24 17:49:15,60.9
2022-07-24 17:49:30,60.9
2022-07-24 17:49:45,55.0
2022-07-24 17:50:00,55.0
2022-07-24 17:50:15,50.7
2022-07-24 17:50:30,50.7
2022-07-24 17:50:45,56.3
2022-07-24 17:51:00,56.3
2022-07-24 17:51:15,27.5
2022-07-24 17:51:30,27.5
2022-07-24 17:51:45,81.5
2022-07-24 17:52:00,81.5
2022-07-24 17:52:15,27.1
2022-07-24 17:52:30,27.1
2022-07-24 17:52:45,54.8
2022-07-24 17:53:00,54.8
2022-07-24 17:53:15,53.2
2022-07-24 17:53:30,53.2
2022-07-24 17:53:45,38.6
2022-07-24 17:54:00,38.6
2022-07-24 17:54:15,42.7
2022-07-24 17:54:30,42.7
2022-07-24 17:54:45,49.1
2022-07-24 17:55:00,49.1
2022-07-24 17:55:15,39.9
2022-07-24 17:55:30,39.9
2022-07-24 17:55:45,35.7
2022-07-24 17:56:00,35.7
2022-07-24 17:56:15,45.5
2022-07-24 17:56:30,45.5
2022-07-24 17:56:45,33.4
2022-07-24 17:57:00,33.4
2022-07-24 17:57:15,21.8
2022-07-24 17:57:30,21.8
2022-07-24 17:57:45,29.4
2022-07-24 17:58:00,29.4
2022-07-24 17:58:15,23.6
2022-07-24 17:58:30,23.6
2022-07-24 17:58:45,29.7
2022-07-24 17:59:00,29.7
2022-07-24 17:59:15,20.5
2022-07-24 17:59:30,20.5
2022-07-24 17:59:45,14.2
2022-07-24 18:00:00,14.2
2022-07-24 18:00:15,25.6
2022-07-24 18:00:30,25.6
2022-07-24 18:00:45,19.9
2022-07-24 18:01:00,19.9
2022-07-24 18:01:15,24.0
2022-07-24 18:01:30,24.0
2022-07-24 18:01:45,18.7
2022-07-24 18:02:00,18.7
2022-07-24 18:02:15,29.5
2022-07-24 18:02:30,29.5
2022-07-24 18:02:45,29.9
2022-07-24 18:03:00,29.9
2022-07-24 18:03:15,20.6
2022-07-24 18:03:30,20.6
2022-07-24 18:03:45,34.3
2022-07-24 18:04:00,34.3
2022-07-24 18:04:15,43.1
2022-07-24 18:04:30,43.1
2022-07-24 18:04:45,51.7
2022-07-24 18:05:00,51.7
2022-07-24 18:05:15,56.3
2022-07-24 18:05:30,56.3
2022-07-24 18:05:45,31.0
2022-07-24 18:06:00,31.0
2022-07-24 18:06:15,64.3
2022-07-24 18:06:30,64.3
2022-07-24 18:06:45,67.2
